"학교명","학교급","주소"
"구미원당초등학교","초등학교","경상북도 구미시 산동읍 옥계신당로9길 21"
"신송초등학교","초등학교","충청북도 청주시 상당구 남일면 신송2길 46"
"북천초등학교","초등학교","경상남도 하동군 북천면 세이리길 20"
"대천동대초등학교","초등학교","충청남도 보령시 한내로터리길 137-12"
"청림초등학교","초등학교","경기도 화성시 동탄산척로 93-22"
"세인트존스베리 아카데미 제주","고등학교","제주특별자치도 서귀포시 대정읍 글로벌에듀로304번길 10"
"설악고등학교","고등학교","경기도 가평군 설악면 한양부로 21-1"
"서울양재초등학교","초등학교","서울특별시 서초구 바우뫼로18길 14"
"영산중학교","중학교","전라남도 나주시 영강길 32"
"선부고등학교","고등학교","경기도 안산시 단원구 지곡로 138"
"신동초등학교","초등학교","강원특별자치도 춘천시 우두로 100"
"대우초등학교","초등학교","경상남도 거제시 아주로3길 63"
"서울위례초등학교","초등학교","서울특별시 강동구 명일로 23 (둔촌동)"
"세연중학교","중학교","강원특별자치도 태백시 연지로33번길 26"
"합천가야초등학교","초등학교","경상남도 합천군 가야면 가조가야로 2863"
"신녕중학교","중학교","경상북도 영천시 신녕면 찰방길 8"
"청주내곡초등학교","초등학교","충청북도 청주시 흥덕구 송화로214번길 30"
"합천초등학교","초등학교","경상남도 합천군 합천읍 죽죽길 3"
"수월중학교","중학교","경상남도 거제시 해명로 70"
"화개초등학교왕성분교장","초등학교","경상남도 하동군 화개면 화개로 967"
"미천초등학교","초등학교","경상남도 진주시 미천면 안간길 18-8"
"덕천초등학교","초등학교","경기도 안양시 만안구 전파로 27"
"호암초등학교","초등학교","경상남도 함안군 칠원읍 호암길 30"
"서부초등학교","초등학교","강원특별자치도 삼척시 오십천로 279"
"중앙초등학교","초등학교","강원특별자치도 강릉시 성덕포남로 18"
"입장중학교","중학교","충청남도 천안시 서북구 입장면 연곡길 36"
"고양동산초등학교","초등학교","경기도 고양시 덕양구 동세로 32"
"김포금빛초등학교","초등학교","경기도 김포시 태장로 821"
"사천초등학교","초등학교","경상남도 사천시 사천읍 읍내로 59"
"신산초등학교","초등학교","제주특별자치도 서귀포시 성산읍 일주동로 5104"
"중앙탑중학교","중학교","충청북도 충주시 중앙탑면 원앙4길 64"
"라온초등학교","초등학교","전라남도 나주시 그린로 93"
"비산초등학교","초등학교","경기도 안양시 동안구 운곡로 52"
"광주경신여자고등학교","고등학교","광주광역시 북구 금호로40번길 40"
"부천대명초등학교","초등학교","경기도 부천시 오정구 성오로 160"
"강릉명륜고등학교","고등학교","강원특별자치도 강릉시 율곡로 2920-8"
"회야초등학교","초등학교","경상남도 양산시 신덕계8길 58"
"은빛초등학교","초등학교","경기도 시흥시 은계로142번길 6"
"청곡초등학교","초등학교","경기도 용인시 기흥구 덕영대로2077번길 52"
"삼미초등학교","초등학교","경기도 오산시 북삼미로 183-9"
"북원중학교","중학교","강원특별자치도 원주시 북원중길 48"
"상남초등학교","초등학교","강원특별자치도 인제군 상남면 내린천로 2548"
"장연초등학교","초등학교","충청북도 괴산군 장연면 미선로오가5길 1"
"천남중학교","중학교","충청남도 천안시 동남구 성남면 신사대화로 403"
"인천청량초등학교","초등학교","인천광역시 연수구 먼우금로 158"
"만송초등학교","초등학교","경기도 양주시 고읍로 117-32"
"초롱초등학교","초등학교","경기도 파주시 양지로 101"
"한솔고등학교","고등학교","세종특별자치시 누리로 34"
"구암중학교","중학교","경상남도 창원시 마산회원구 구암북11길 26"
"호명초등학교","초등학교","강원특별자치도 평창군 진부면 약수동길 11"
"구항초등학교","초등학교","충청남도 홍성군 구항면 구성남로 928"
"인천미송초등학교","초등학교","인천광역시 연수구 아카데미로 667"
"유암초등학교","초등학교","경기도 포천시 가산면 유교로88번길 8"
"관동초등학교","초등학교","경상남도 김해시 율하3로 110"
"세미초등학교","초등학교","경기도 오산시 내삼미로 127"
"궁항초등학교","초등학교","경상남도 하동군 금성면 가린길 32"
"창원중앙여자고등학교","고등학교","경상남도 창원시 성산구 단정로 121"
"대전호수초등학교","초등학교","대전광역시 서구 도안동로 182-20"
"온양천도초등학교","초등학교","충청남도 아산시 실옥로 45"
"진주중앙중학교","중학교","경상남도 진주시 모덕로 287"
"다율중학교","중학교","경기도 파주시 다율로 28"
"한다사중학교","중학교","경상남도 하동군 양보면 진양로 1097"
"웅산초등학교","초등학교","충청남도 예산군 광시면 예당로 181"
"사직초등학교","초등학교","부산광역시 동래구 쇠미로81번길 7"
"회룡초등학교","초등학교","강원특별자치도 양양군 강현면 회룡1길 161"
"해빛초등학교","초등학교","부산광역시 기장군 일광읍 해빛6로 9"
"인천한별초등학교","초등학교","인천광역시 서구 서로3로 201"
"대곡중학교","중학교","경상남도 진주시 소호로 8"
"파평초등학교","초등학교","경기도 파주시 파평면 파평산로478번길 37"
"광명동초등학교","초등학교","경기도 광명시 연서일로 25"
"아산갈산중학교","중학교","충청남도 아산시 탕정면 한내로 204-56"
"천안북중학교","중학교","충청남도 천안시 동남구 중앙로 188"
"보림초등학교","초등학교","부산광역시 사하구 장림로161번길 20"
"반송중학교","중학교","부산광역시 해운대구 반송로911번길 59"
"대광초등학교","초등학교","경기도 연천군 신서면 연신로 1127-1"
"동강초등학교","초등학교","전라남도 나주시 동강면 동강로 595"
"용산초등학교","초등학교","경상남도 사천시 삼상로 223-31"
"위례숲초등학교","초등학교","경기도 하남시 위례대로6길 65"
"강동초등학교","초등학교","강원특별자치도 강릉시 강동면 단경로 20"
"동호초등학교","초등학교","강원특별자치도 동해시 발한로 123"
"수원초등학교","초등학교","제주특별자치도 제주시 한림읍 한림로 822"
"사천여자중학교","중학교","경상남도 사천시 정동면 서당길 32"
"명도초등학교","초등학교","경상남도 창원시 의창구 도계두리길 233"
"남양초등학교","초등학교","경상북도 울릉군 서면 남양1길 58"
"조선대학교여자고등학교","고등학교","광주광역시 동구 지산로 36"
"충북체육고등학교","고등학교","충청북도 진천군 문백면 도하3길 120"
"위례중앙초등학교","초등학교","경기도 성남시 수정구 위례순환로 71"
"문곡고등학교","고등학교","인천광역시 서구 청마로 52"
"인천아라고등학교","고등학교","인천광역시 서구 서로2로 62"
"수원가온초등학교","초등학교","경기도 수원시 권선구 금곡로73번길 36"
"옥길산들초등학교","초등학교","경기도 부천시 소사구 옥길로 31"
"남양주양정초등학교","초등학교","경기도 남양주시 경춘로 468-33"
"장자중학교","중학교","경기도 구리시 장자호수길 45"
"남원도통초등학교","초등학교","전북특별자치도 남원시 대교2길 22"
"고암중학교","중학교","경기도 양주시 고암길 305-18"
"화도초등학교","초등학교","경기도 남양주시 화도읍 비룡로116번길 24-42"
"유현초등학교","초등학교","강원특별자치도 횡성군 서원면 경강로 711"
"연희중학교","중학교","서울특별시 서대문구 증가로 170"
"한국식품마이스터고등학교","고등학교","충청남도 부여군 홍산면 홍산로 112-23"
"광주효덕초등학교","초등학교","광주광역시 남구 화산로 7"
"배곧라라초등학교","초등학교","경기도 시흥시 서울대학로 255"
"고산초등학교","초등학교","경기도 의정부시 문화로 41"
"배곧라라중학교","중학교","경기도 시흥시 서울대학로 255"
"대구초등학교","초등학교","대구광역시 중구 명륜로23길 80"
"광주계림초등학교","초등학교","광주광역시 동구 중앙로 320"
"광주과학고등학교","고등학교","광주광역시 북구 첨단과기로 215"
"낙서초등학교","초등학교","경상남도 의령군 낙서면 낙동강로 773-6"
"금부초등학교","초등학교","광주광역시 서구 금화로115번길 22"
"대전탄방초등학교용문분교장","초등학교","대전광역시 서구 도솔로 500"
"청미르초등학교","초등학교","경기도 파주시 운정중앙로 230"
"금산초등학교","초등학교","전북특별자치도 김제시 금산면 모악로 383"
"군산산북초등학교","초등학교","전북특별자치도 군산시 원산북2길 29"
"울산효문초등학교","초등학교","울산광역시 북구 율동로 50"
"광양골약중학교","중학교","전라남도 광양시 도이2길 6"
"천안두정고등학교","고등학교","충청남도 천안시 서북구 두정고2길 13"
"사남초등학교","초등학교","경상남도 사천시 사남면 조동길 49-28"
"포천고등학교","고등학교","경기도 포천시 원모루로 40"
"곤양초등학교","초등학교","경상남도 사천시 곤양면 성내로 25"
"외포중학교","중학교","경상남도 거제시 장목면 옥포대첩로 942"
"은솔초등학교","초등학교","경기도 남양주시 화도읍 경춘보학2길 9"
"선도중학교","중학교","충청남도 아산시 선장면 서부남로 21"
"풍암고등학교","고등학교","광주광역시 서구 풍암신흥로39번길 20"
"황지중앙초등학교","초등학교","강원특별자치도 태백시 태백로 810"
"평택서재초등학교","초등학교","경기도 평택시 상서재로6길 19"
"서울양원숲초등학교","초등학교","서울특별시 중랑구 양원역로 95"
"보개초등학교","초등학교","경기도 안성시 보개면 보개원삼로 649"
"황남초등학교","초등학교","경상북도 경주시 광중2길 28"
